"Data Source","World Development Indicators",

"Last Updated Date","2022-07-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"World","WLD","Transport services (% of commercial service exports)","TX.VAL.TRAN.ZS.WT","","","","","","","","","","","","","","","","","","","","","","","36.0020942994296","36.1573699843748","34.4514804638048","33.9338276765863","30.8151537410097","29.8131301998681","32.5282479711468","30.8109279297814","31.5063624511978","27.4896787069592","25.6956111323438","24.8244277581939","25.4843781416002","25.2533556626355","24.0701495214185","22.140389233756","21.9220428167998","21.8051303289422","21.9698112113715","22.0325953278046","21.9760602931477","22.9699728206002","23.3125919362257","24.2098333116543","24.2225993615564","24.1452836544028","24.6051463860816","21.2005626893105","22.6407409212936","22.0923025338884","21.8470114317526","20.765217454202","20.0817256858105","19.6656774604944","18.7741502552151","18.9082123914035","18.8834165708471","18.7510217445865","20.0728001069671","23.3076432498473",
"World","WLD","Merchandise exports to high-income economies (% of total merchandise exports)","TX.VAL.MRCH.HI.ZS","70.673071006969","71.3473886897484","72.572237771791","72.8400493861845","72.3870518316625","72.926237757576","73.3781948710898","74.3371106450191","74.4445849344893","75.0397601609919","74.4603822254239","74.5615202936781","75.0322520766532","74.9721794350775","73.3304095740846","70.314411543168","73.082060910929","73.2905704989286","73.3737002353982","74.9148224065451","73.6559226000946","72.56679048403","73.353726707885","74.9598403851372","75.8862076072459","76.2170111899551","77.9882371990894","79.1449622406337","78.8706153372158","79.3010593786468","79.4032098081211","79.5965831479703","78.7142333787548","77.7112533142794","77.4717028721142","76.9417098134084","76.5853410579549","77.3689949227994","78.6652111446794","82.0886291197099","80.4673553183446","80.0608219212323","79.7146759716933","79.0158608115923","77.9883136500573","76.8503657781628","76.0722595555897","74.6830608356317","72.9931246937747","71.9757270406988","70.2259610191857","69.1456179397752","68.3511734685827","68.0089028379065","68.3886068843108","69.1970687459597","69.7035882790981","68.4913750460217","68.2189368935263","68.1897212548687","68.4526776808913","",
"World","WLD","Commercial service imports (current US$)","TM.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","","","","377313029461.081","449973161045.311","460958102924.025","446065182601.709","426368488414.842","439158963519.45","451305961334.978","512569093166.322","595633162304.676","665871805241.56","718857716379.592","875962106428.552","914591441120.238","1032942092815.38","1031428961507.05","1104667574086.24","1275949175208.31","1346201807199.28","1386304440326.23","1400110111136.18","1489344727605.39","1596045190324.95","1613552912948.89","1697367811650.05","1926252048733.5","2318462282072.05","2566185625830.38","2864560864409.39","3389379880266.26","3838707074321.56","3434941672688.54","3758788873689.69","4196441813490.16","4340202528639.45","4603467610332.29","4978341299570.48","4745744749731.5","4794170980363.81","5198287803581.25","5651067676756.14","5811916147112.7","4791198670627.58","5476654956468.53",
"World","WLD","Ores and metals imports (% of merchandise imports)","TM.VAL.MMTL.ZS.UN","","","7.78677413575349","6.95781426948821","7.47707799852278","7.81764332550207","7.85970895043755","7.51783256933473","7.51776337096809","7.22115200087565","7.30067618635411","6.11749698576017","5.46237260911993","5.6358161927434","5.74534526258222","4.72780557679383","4.68276958469298","4.52980066545044","4.26059294651885","4.57036740391689","4.78364713333947","4.12506559323297","3.73586515147393","4.034361518722","4.26525512112073","3.95834581755905","3.67468635646604","3.67668769673614","","","4.14450902435746","3.82492673950914","3.53643162541737","3.34479390198908","3.37079254856331","3.7022640130758","3.33754769736174","3.42460715910315","3.36216546366036","3.17546033699436","3.34715917013553","3.26131156170074","3.02941295056847","3.03833470761973","3.59084073974059","3.81649285343327","4.58684524719049","4.96100621619563","4.82847675063722","4.1585027771743","4.76798976524905","5.04543320521185","4.52500731634982","4.28880039390584","4.14961201686211","3.88459993841828","3.70073006533609","4.10689800363313","4.13194595082754","4.15441638572349","4.55446335930065","5.49602705461482",
"World","WLD","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.75","6.91","7.8","7.02","8.15","8.85","9.69","7.35","7.1","6.42","6.03","6.54","5.84","6.17","5.74","5.55","4.96","4.7","4.34","4.5","4.53","4.32","4.3","4.56","3.93","4.06","4.11","4.3","4.1","4.17","","","","",
"World","WLD","Import volume index (2000 = 100)","TM.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","98.09936309","103.2252985","118.0725369","135.6833461","144.5073826","156.5353863","172.3068788","180.9560932","153.4159999","171.5107083","183.5878358","183.3299993","189.7556433","193.7137241","186.0668582","188.037005","198.4054215","207.5428064","","","",
"World","WLD","Rural population (% of total population)","SP.RUR.TOTL.ZS","66.3820276273588","65.884510340129","65.4428509936877","65.0562655470336","64.6638459841796","64.443317897459","64.2464557931084","64.0365129523134","63.8304371573682","63.6343995038981","63.4456477866394","63.2508684566038","63.0433597188355","62.8080119731383","62.5409117455352","62.3145053368091","62.0605703756036","61.8014143305036","61.465714133006","61.0612960642841","60.6503370297104","60.2281537739415","59.8471469036042","59.5005557268581","59.1431344332869","58.783013168456","58.4189850009908","58.0537808162107","57.6892241917956","57.3345202344833","56.9712358907747","56.6028840100379","56.258357551336","55.8938298507888","55.5325337802329","55.1579337777274","54.7970686130498","54.4331634657182","54.0645485999697","53.6921560269177","53.3106939532392","52.8624678182758","52.3638234861326","51.8621835160775","51.3563728928441","50.8474323836194","50.3467342583632","49.8554972539934","49.350835444078","48.8508944940579","48.3537328336683","47.8961910656436","47.4452092398089","46.9942312646858","46.5409650278381","46.0835501526568","45.6259605117688","45.1712786459983","44.7220250318829","44.2776204491939","43.8351063638298","43.4151413949926",
"World","WLD","Population growth (annual %)","SP.POP.GROW","","1.30072410817561","1.7243462047616","2.08332248580949","2.05319982551457","2.05524143402917","2.10866788828604","2.04952806653054","2.0557795099968","2.08817694565934","2.09125276275897","2.13311686340344","2.03121137162374","1.98294336877748","1.92954936287425","1.8558336723775","1.79507967654773","1.74961533313858","1.74802018504161","1.7620417897177","1.74866104222924","1.76406767844979","1.80049048590014","1.78432403887979","1.74712530080474","1.74895086012958","1.76830078138659","1.78300118456379","1.77018316822685","1.73856862522462","1.73576069650845","1.66810850435812","1.57293125482447","1.56455260542496","1.52043397231714","1.5059943701925","1.45269277573175","1.42718722375696","1.39162100258203","1.35169584038294","1.32305711835376","1.29760358510696","1.27647394855373","1.26151721361913","1.25430255915013","1.24694530932159","1.24370744910811","1.23576150851694","1.24087967463484","1.22174445674084","1.20330803304117","1.18329340674819","1.22068863908771","1.21657121233333","1.20334695075393","1.18196469027203","1.17005402578825","1.1531384118945","1.10840559495504","1.06659527365613","1.04279381038506","0.936356519180961",
"World","WLD","Population ages 65 and above, female","SP.POP.65UP.FE.IN","86361161","88329557","90405574","92622772","94818352","97053256","100142325","103259444","106439640","109688773","112968566","116720701","120357283","123969757","127622902","131321131","135438980","139618071","143773449","147683278","151172822","154544733","157400040","159987699","162710964","165866869","169574627","173599776","177885206","182354373","186973367","191848498","196878161","201991690","206986380","211816451","217200530","222177907","226975968","231916788","237174687","242569572","248223050","253968287","259453930","264529546","269936572","274989843","280054948","285505994","291666174","298597839","306377304","314954810","324451965","334948265","346638107","359173561","372213041","385372252","398610418","411029838",
"World","WLD","Population ages 30-34, female (% of female population)","SP.POP.3034.FE.5Y","6.80856847778599","6.76068945071958","6.68864225133876","6.60775273103934","6.53934751314494","6.49245958924253","6.44507555724071","6.42858995890309","6.42194211669532","6.39343452959555","6.32780387520037","6.22866067011827","6.10186852970402","5.97602620228908","5.89327185149875","5.87656729240344","5.90845938147684","5.99462372774804","6.12358331658986","6.2760920651905","6.4367313568685","6.60903356014434","6.79227016768353","6.96702328281576","7.10632088810111","7.19535982496092","7.22688536121569","7.2123991100748","7.17565985441694","7.15171134861824","7.1591611079606","7.18479867421123","7.24170516698164","7.32021567458636","7.40131555071171","7.47346976390789","7.55059992196225","7.61518107960055","7.66593583428145","7.70310381598466","7.72571388629555","7.72153392228443","7.70754998630235","7.68089860416855","7.63724489098798","7.57696666247848","7.5046819461662","7.41733564585229","7.3284559865339","7.25917959847112","7.22232768166736","7.21455959255037","7.23405842200227","7.27578514791593","7.33158778683319","7.39469974444254","7.46869008156346","7.55562693678703","7.63466457212718","7.67584654080613","7.66187452881326","7.59883003590481",
